id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
909096,The Bangtel Playhouse with Super Cool Private Rooftop,4069585,Liz,,Humboldt Park,41.91105,-87.70927,Entire home/apt,400,1,200,2/23/2020,2.29,14,346
926142,Private Home Rental with 3 Bedrooms.,2465320,Ana,,Rogers Park,41.99986,-87.67155,Entire home/apt,180,1,5,9/24/2019,0.06,3,69
929914,Charming apartment in Old Town,5007980,Lynn,,Lincoln Park,41.91316,-87.63813,Entire home/apt,115,2,304,2/18/2020,3.54,1,295
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88449,-87.69659,Private room,75,3,23,11/2/2018,0.27,1,362
949514,Modern Loft-Style Pad in Wicker!,5148353,Steven,,West Town,41.90677,-87.66788,Private room,50,3,133,3/2/2020,1.53,1,0
960326,"Discounted Rates, Stay in Designer Penthouse Art Gallery",5228189,Matthew,,West Town,41.89505,-87.65449,Entire home/apt,302,1,265,3/7/2020,3.16,5,351
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,,Near West Side,41.86755,-87.6788,Entire home/apt,269,2,40,6/5/2018,0.46,1,90
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,,Rogers Park,42.00498,-87.66712,Private room,69,2,209,3/15/2020,2.44,4,359
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00623,-87.66794,Private room,59,2,240,2/16/2020,2.83,4,363
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00426,-87.66693,Private room,59,2,233,2/23/2020,2.72,4,365
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00381,-87.67082,Entire home/apt,159,2,176,2/17/2020,2.1,4,343
1020810,Beautiful Condo in Chicago,3843347,Andrea,,Near North Side,41.8943,-87.62609,Entire home/apt,100,30,30,4/6/2020,0.35,3,316
1027405,Chicago Women's Residence/ Paris Rm,5654677,Urban Art,,North Lawndale,41.85432,-87.70769,Private room,45,2,6,7/31/2016,0.1,4,88
1027463,Chicago Women's ResidenceFlorenceRm,5654677,Urban Art,,North Lawndale,41.85423,-87.70784,Private room,45,2,10,10/24/2019,0.18,4,89
1027741,Chicago Women's Residence Midler Rm,5654677,Urban Art,,North Lawndale,41.85455,-87.70768,Private room,45,2,19,10/13/2019,0.95,4,88
1032943,"4 rms/6 beds, 2.5 baths, Lake Michigan & McCormick",5684259,Marva,,Oakland,41.81996,-87.59978,Entire home/apt,240,2,199,11/30/2019,2.37,4,311
1056430,Charming space in Boystown/Lakeview,5830215,Albert And Antonio,,Lake View,41.94376,-87.65164,Private room,79,2,320,3/15/2020,3.74,1,315
1080532,Mid-Century mdn twnhs in Lakview,1838943,Sunnie/Randolph,,Lake View,41.93396,-87.64108,Entire home/apt,114,6,29,10/18/2019,0.36,2,219
1083987,MODERN LOFT Downtown by McCormick w/KING BED WiFi,3965428,Rob,,Near South Side,41.85278,-87.62453,Entire home/apt,85,30,21,1/6/2020,0.25,76,251
1096191,Studio at the Lake,6023157,Nataliya,,Uptown,41.97271,-87.65236,Entire home/apt,55,30,45,10/16/2019,0.53,1,225
1101458,Private Suite in Historic District,6050945,Seamus,,Austin,41.88655,-87.77086,Private room,55,1,197,2/16/2020,2.34,1,350
1113259,Private room in a cozy city condo,6109924,Nicole,,Rogers Park,42.01761,-87.67987,Private room,55,1,132,3/15/2020,1.56,1,358
1127661,Art House in Hip Logan Square,2371848,Jason & Jennifer,,Logan Square,41.91791,-87.70933,Private room,59,2,238,3/13/2020,2.84,1,85
1129741,Large modern apartment near CTA,4778146,Mila,,East Garfield Park,41.88282,-87.72026,Entire home/apt,80,7,0,,,1,0
1171860,"Lincoln Park Studio, Great Value!",2658212,James,,Lincoln Park,41.92628,-87.64026,Entire home/apt,50,7,532,3/18/2020,6.43,5,27
1183249,"Boystown Studio, Outstanding Value!",2658212,James,,Lake View,41.9395,-87.64483,Entire home/apt,79,7,500,3/18/2020,5.96,5,58
1185749,3 Bedroom Charming Vintage Hideaway,1664593,Matt & Christy,,Near West Side,41.87086,-87.68305,Entire home/apt,99,3,314,3/14/2020,3.74,1,126
1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,,West Town,41.91095,-87.67783,Entire home/apt,135,4,180,2/16/2020,2.15,2,360
1225964,Chicago 10 Minutes to MAG MILE!,6687262,Sharon,,Lake View,41.93804,-87.64134,Private room,70,2,9,5/5/2014,0.11,1,349
1229238,Two story family home,6705392,Mario,,Portage Park,41.94735,-87.75762,Entire home/apt,210,1,95,2/16/2020,1.35,2,344
1229267,Single/room share,6705392,Mario,,Portage Park,41.94556,-87.75419,Private room,40,1,11,9/29/2019,0.16,2,351
1249397,Spacious 3BD Home in Ravenswood,6808293,Jon,,Lincoln Square,41.97009,-87.67423,Entire home/apt,130,1,11,11/30/2019,0.13,2,157
1296053,Private Rm nr Lake & McCormick Ctr,5684259,Marva,,Oakland,41.82147,-87.60086,Private room,75,1,27,10/6/2018,0.33,4,87
1296218,Private Rm2 nr Lake & McCormick Pl,5684259,Marva,,Oakland,41.82184,-87.60129,Private room,75,1,23,7/30/2019,0.28,4,87
1304049,Private room near UIC Medical Dist.,7089017,Sharon,,Near West Side,41.8719,-87.68486,Private room,100,1,103,10/23/2019,1.27,1,365
1321332,Lincoln Park Single Family Home,946954,Jeff,,Lincoln Park,41.92913,-87.66921,Entire home/apt,395,2,74,3/1/2020,0.93,1,341
1325769,Historic Walk-Up; Safe Area & Close to EVERYTHING,7195599,Kelly,,Lincoln Park,41.91355,-87.63675,Private room,198,1,23,6/30/2019,0.28,1,89
1333431,2 BR suite w/ 3 beds near McCormick/Lake Michigan,5684259,Marva,,Oakland,41.82179,-87.59986,Private room,200,1,6,8/6/2017,0.09,4,348
1356190,Logan Square Vintage Deluxe Suite,3069675,Gabrielle,,Logan Square,41.92083,-87.68896,Private room,90,1,304,3/15/2020,3.78,1,323
1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,,Lake View,41.9459,-87.65461,Hotel room,80,1,28,3/15/2020,0.37,5,357
1369384,Private bed & bath w/garage parking,7385510,Anna,,Irving Park,41.95564,-87.71154,Private room,60,2,125,11/25/2018,1.53,1,140
1392594,"Bright open house, garden & deck",7528098,Eileen,,Uptown,41.96952,-87.67239,Entire home/apt,168,3,24,9/16/2019,0.29,1,195
1427950,Mid Century Modern Hideaway,1222412,Elizabeth,,Edgewater,41.98496,-87.66806,Entire home/apt,120,3,79,11/11/2019,1.29,1,0
1428589,Field Museum Experience at Ellis Place,2465946,Becky & John,,Oakland,41.82781,-87.60523,Private room,50,1,273,2/16/2020,3.34,4,350
1434078,Trendy Downtown 2 Bedroom,5402236,Casey,,Lincoln Park,41.92989,-87.64103,Entire home/apt,380,12,14,5/24/2019,0.19,3,362
1461451,02b. Twin bed in Coed Space,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,25,1,151,3/21/2020,1.85,18,180
1468342,Quaint Serenity in Bronzeville,4081052,Suzetta,,Grand Boulevard,41.81266,-87.61586,Private room,65,2,123,2/16/2020,1.51,1,360
1475647,01b. Twin bed in Shared Foster Cat Room,2907254,Joe,,West Ridge,42.01653,-87.68788,Shared room,25,1,97,3/4/2020,1.19,18,157
1502674,The Biddle House (#2),33004,At Home Inn,,Lincoln Park,41.91307,-87.64012,Entire home/apt,158,4,36,3/26/2020,0.45,11,335
1502700,The Biddle House (WHOLE HOUSE),33004,At Home Inn,,Lincoln Park,41.91406,-87.63934,Entire home/apt,425,4,16,9/2/2019,0.22,11,319
1516154,Best Location Millennium Park Extended Stay POOL,3965428,Rob,,Loop,41.88642,-87.61695,Entire home/apt,145,31,18,8/16/2015,0.22,76,323
1541692,Private room in Chicago,8217410,Aisha & Antonio,,Oakland,41.82936,-87.6048,Private room,55,3,94,11/21/2019,1.32,1,353
1554433,Charming Home in Chicago,6088938,Eric,,Beverly,41.71348,-87.67195,Private room,90,2,162,3/15/2020,2.01,1,362
1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,,Lower West Side,41.85763,-87.66236,Private room,65,2,187,3/29/2020,6.78,2,194
1584422,Magic Factory Lofts  - Not your typical Airbnb,2810938,Carole & Basil,,Near North Side,41.90607,-87.6488,Entire home/apt,344,3,26,3/16/2020,0.32,2,0
1584509,The Historic Florsheim Mansion,8442094,Russ,,Near North Side,41.90697,-87.62941,Entire home/apt,475,2,53,3/8/2020,0.69,1,307
1587078,Gorgeous Apartment in Bucktown,4908881,Irena & Martin,,Logan Square,41.91638,-87.68422,Entire home/apt,149,2,293,3/16/2020,3.63,4,336
1591370,Cozy Northside Chicago Apt - 10 min walk to Beach,8489460,Holly + Mark,,Rogers Park,42.01114,-87.67634,Entire home/apt,90,2,93,2/17/2020,1.16,1,359
1614802,Lincoln Park/De Paul area.,8595700,Carin,,Lake View,41.93455,-87.66141,Private room,60,4,271,3/16/2020,3.7,1,293
1623463,East Pilsen,8463536,Maximiliano,,Lower West Side,41.859,-87.6462,Entire home/apt,135,2,40,3/1/2020,1.11,1,89
1641601,Private Nook in Leafy Andersonville,8626951,CC & Tun,,Uptown,41.97282,-87.67257,Private room,69,2,275,3/14/2020,3.42,1,348
1648786,Quiet Rooms2 in Quiet Neighborhood,1426804,Afri,,Chatham,41.72836,-87.6136,Private room,32,2,84,3/14/2020,1.05,1,348
1656336,Park Views-Walk to Orange Line(MDW),8781008,Jenny,,Mckinley Park,41.82516,-87.67456,Entire home/apt,95,1,269,3/23/2020,3.46,2,339
1663673,iKlektik House // Cardinal,8813383,Mindy + Tony,,West Town,41.89322,-87.68572,Entire home/apt,99,2,317,3/8/2020,4.15,4,175
1668481,Cozy 2BR Apt - Humboldt Park,531832,Evan,,West Town,41.89665,-87.69719,Entire home/apt,82,45,109,2/15/2020,2.05,1,9
1672647,Victorian greystone near Loyola U!,2707385,Caitlin & Lisa,,Rogers Park,41.99892,-87.67322,Entire home/apt,109,7,224,2/16/2020,2.8,1,339
